menu,price,genre,name,adress,tel,lat,lng,url
興居島池本ゆたか農園 果汁100％柑橘ジュース,990,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
愛媛のきよみみかん 果汁100％ジュース,770,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ローター・トラウベンモスト,830,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ノンアルコールスパークリングワイン（200ml）,1540,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ノンアルコールワイン＜赤／白＞,990,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ウーロン茶,660,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ジンジャーエール（甘口・辛口）,660,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
evian,1100,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
perrier,770,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
Ferarelle,1210,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ニコラ フィアットグランレゼルヴ ロゼ,13200,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
シャルル エドシック ブリュット レゼルヴ,15900,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ギィ・ラルマンディエ キュベ シーニェ フランソワ2009,24000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
レア・シャンパーニュ2006,27000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
アンリオ キュベ エメラ 2006,38000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ドン・ペリニョン2012,42000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
シャルル エドシック ブラン・デ・ミレネール2004,45000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
トルブレック ジュブナイル 2015,8800,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
メゾン・ルロワ コトードブルギニヨン ルージュ2018,9900,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ムーラン・ド・ララギューム2010,11000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ディディエ・フォルネロール コート・ド・ニュイ・ヴィラージュ2017,12100,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
レミ・スガン モレサンドニ2015,16500,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
シャトー・ダルマイヤック2013,21000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ドメーヌ・デュロシェ ジュブレシャンベルタン2014,22000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
デュジャック シャンボールミュジニー2017,24200,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ドメーヌ・ラペ コルトン プジェ グランクリュ2014,24200,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ドメーヌ・ローラン ジュブレシャンベルタンVV クロサンピエール2018,26000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
シャトー・ポンテカネ2015,30000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ディステニーベイ デスティナイ2010,33000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
シャトー・ヴォランドロー2010,48000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
メオ・カミュゼ クロドヴージョ2015,77000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
シャトーレストリーユ キャブマルタン 2019,7700,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
レジス・ミネ プイィフュメ,8800,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ジュリアン・プロカール プティシャブリ2019,9300,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
コラボレーションワインズ アウルレント2019,11000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
マルク・ダンジェルヴィーユ アリゴテ2019,11000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ドミニク・ローラン マルサネ2018,11550,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ドメーヌ・シュルンバジェ リースリンググランクリュ キッテルレ2017,12100,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
メゾン・ルロワ コトードブルギニヨンブラン2018,14300,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ドメーヌ・ボーマン ムルソー2013,14300,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ドメーヌ・ボーマン ピュリニーモンラッシェ2013,15400,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ジャック・カリヨン ピュリニーモンラッシェ2014,15400,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
オリヴィエ・ルフレーヴ シャサーニュ モンラッシェ 2014,15400,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
ドメーヌ・ルロワ コトードブルギニヨン2015,48000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
アンリ・ボワイヨ コルトンシャルルマーニュ 2018,55000,フレンチ、モダンフレンチ、イノベーティブ・フュージョン,しまなみふれんち Murakami,大阪府 大阪市北区 天神橋 1-13-15 大阪グリーン会館 102,050-5456-1294,34.6945848,135.5122193,https://tabelog.com/osaka/A2701/A270103/27100646/dtlmenu/drink/
角ハイボール,400,うどん、うどんすき,讃岐うどん 今雪,大阪府 大阪市北区 神山町 3-10 クラウンマエダビル 1F,050-5590-1677,34.7029999,135.5060683,https://tabelog.com/osaka/A2701/A270101/27067874/dtlmenu/drink/
ザ・プレミアム・モルツビール,450,うどん、うどんすき,讃岐うどん 今雪,大阪府 大阪市北区 神山町 3-10 クラウンマエダビル 1F,050-5590-1677,34.7029999,135.5060683,https://tabelog.com/osaka/A2701/A270101/27067874/dtlmenu/drink/
凱陣(純米吟醸・香川県）,550,うどん、うどんすき,讃岐うどん 今雪,大阪府 大阪市北区 神山町 3-10 クラウンマエダビル 1F,050-5590-1677,34.7029999,135.5060683,https://tabelog.com/osaka/A2701/A270101/27067874/dtlmenu/drink/
モエ・エ・シャンドン,10000,うどん、うどんすき,讃岐うどん 今雪,大阪府 大阪市北区 神山町 3-10 クラウンマエダビル 1F,050-5590-1677,34.7029999,135.5060683,https://tabelog.com/osaka/A2701/A270101/27067874/dtlmenu/drink/
能勢ジンジャーエール,300,うどん、うどんすき,讃岐うどん 今雪,大阪府 大阪市北区 神山町 3-10 クラウンマエダビル 1F,050-5590-1677,34.7029999,135.5060683,https://tabelog.com/osaka/A2701/A270101/27067874/dtlmenu/drink/
麦酒,770,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
麦酒 ,660,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
ノンアルコールビール,550,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
チューハイ,550,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
果実酒,660,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
おすすめのグラスワイン（赤／白）,1100,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
おすすめのグラスシャンパン,1980,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
麦焼酎,550,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
米焼酎,550,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
黒糖焼酎,550,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
芋焼酎,550,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
香檳烏龍茶,550,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
コーラ,550,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
オレンジジュース,550,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
100%搾りたて赤ぶどうジュース（品種ツヴァイゲルト）,880,焼鳥、鳥料理、創作料理,焼鳥YAMATO,大阪府 大阪市北区 堂島 1-3-16 堂島メリーセンタービル5Ｆ,050-5456-9395,34.6966074,135.4972251,https://tabelog.com/osaka/A2701/A270101/27052799/dtlmenu/drink/
Heineken,990,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
ALL-Free,770,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
ACQUA PANNA,715,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
San-Pellegrino,715,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
Perrier,990,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
Chateldon,1760,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
Orange,770,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
Mango,770,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
Pink GrapeFruits,770,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
GingerAle,990,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
Grape Juice,990,フレンチ、洋食、バー,レストラン ヴァリエ,大阪府 大阪市北区 中之島 3-3-23 中之島ダイビル  2階,050-5595-3323,34.6931156,135.4935985,https://tabelog.com/osaka/A2701/A270102/27001184/dtlmenu/drink/
アサヒ ドライプレミアム（中瓶）,800,懐石・会席料理、割烹・小料理、魚介料理・海鮮料理,御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,06-7173-9388,34.6937135,135.5142022,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/
アサヒ ドライゼロ（小瓶）,500,懐石・会席料理、割烹・小料理、魚介料理・海鮮料理,御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,06-7173-9388,34.6937135,135.5142022,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/
ニッカ竹鶴ノンビンテージ,700,懐石・会席料理、割烹・小料理、魚介料理・海鮮料理,御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,06-7173-9388,34.6937135,135.5142022,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/
山崎12年,1400,懐石・会席料理、割烹・小料理、魚介料理・海鮮料理,御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,06-7173-9388,34.6937135,135.5142022,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/
I.W.ハーパー12年,1000,懐石・会席料理、割烹・小料理、魚介料理・海鮮料理,御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,06-7173-9388,34.6937135,135.5142022,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/
上撰 菊正宗　日本酒度 +5.0,700,懐石・会席料理、割烹・小料理、魚介料理・海鮮料理,御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,06-7173-9388,34.6937135,135.5142022,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/
黒澤 日本酒度+5,800,懐石・会席料理、割烹・小料理、魚介料理・海鮮料理,御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,06-7173-9388,34.6937135,135.5142022,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/
山形　洌　純米無濾過生原酒　日本酒度+5,800,懐石・会席料理、割烹・小料理、魚介料理・海鮮料理,御料理 堀川,大阪府 大阪市北区 天満 4-8-17  グレイスイン天満2番館 1F,06-7173-9388,34.6937135,135.5142022,https://tabelog.com/osaka/A2701/A270103/27082677/dtlmenu/drink/
